_uf;_label;_level;estab_total;area_ha_total;estab_menos_1ha;area_ha_menos_1ha;estab_1_a_2ha;area_ha_1_a_2ha;confianca
AL;MATA ALAGOANA;microrregiao;;861802.0;5369.0;2753.0;2644.0;;baixa
AL;MATA ALAGOANA;municipio;;471352.0;2470.0;1330.0;1647.0;;baixa
AL;LITORAL NORTE ALAGOANO;municipio;;185126.0;1475.0;716.0;635.0;;baixa
AL;PORTO CALVO;mesorregiao;;36398.0;373.0;215.0;93.0;;baixa
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;municipio;;205323.0;1424.0;706.0;362.0;;baixa
AL;MATA ALAGOANA;microrregiao;;86826.0;629.0;313.0;215795.0;;baixa
AL;MATA ALAGOANA;municipio;;57814.0;363.0;172.0;115612.0;;baixa
AL;NOVO LINO;mesorregiao;;2090.0;19.0;;4709.0;;baixa
AL;LITORAL NORTE ALAGOANO;municipio;;14253.0;145.0;84.0;61583.0;;baixa
AL;TABULEIROS OE S MIGUEL DOS CAMPOS;municipio;;14758.0;121.0;57.0;38599.0;;baixa
AM;TOTAIS;total;116302.0;5859512.0;3837.0;1683.0;7379.0;9079.0;media
AM;HILEIA AMAZONENSE;microrregiao;75663.0;3820308.0;3522.0;1526.0;5953.0;7277.0;media
AM;ALTO SOLIMÕES;municipio;12818.0;100053.0;460.0;199.0;1158.0;1544.0;media
AM;.JURUA;municipio;12862.0;103065.0;2173.0;937.0;700.0;3125.0;media
AM;PURUS;municipio;705.0;1281129.0;190.0;56.0;187.0;183.0;media
AM;PAUINI;mesorregiao;1277.0;170383.0;;;;;media
AM;MADEIRA;municipio;12849.0;901.0;314.0;200.0;777.0;834.0;media
AM;RIO NEGRO;municipio;6519.0;99485.0;296.0;121.0;903.0;1300.0;media
AM;SOLIMÔES-JAPURA;municipio;15910.0;1335092.0;19.0;10.0;;289.0;media
AM;TOTAIS s;total;;;646121.0;690620.0;748.0;357.0;media
AM;HILEIA AMAZONENSE;mesorregiao;;;455635.0;506707.0;588.0;268.0;media
AM;ALTO SOLIMÕES;microrregiao;;;6119.0;8294.0;;;media
AM;AMATURA;municipio;;;600.0;500.0;;;media
AM;ATALAIA;municipio;;;204.0;550.0;;;media
AM;BENJAMIN CONSTANT;municipio;;;1218.0;1350.0;;;media
AM;FONTE BOA;municipio;;;1384.0;2046.0;;;media
AM;.JUTAI;municipio;;;1141.0;1100.0;;;media
AM;SANTO ANTONIO;municipio;600.0;810.0;550.0;;;;media
AM;SÃO PAULO OE OLIVENÇA;municipio;;;501.0;613.0;;;media
AM;TABATINGA;municipio;;;100.0;200.0;;;media
AM;TONANTINS;municipio;;;370.0;1125.0;;;media
AM;JURUA;microrregiao;;;2542.0;3851.0;;;media
AM;CARAUARl;municipio;;;772.0;360.0;;;media
AM;EIRUNEPE;municipio;;;844.0;350.0;;;media
AM;ENVIRA;municipio;;;391.0;2641.0;;;media
AM;IPIXUNA;municipio;;;330.0;;;;media
AM;ITAMARAT(;municipio;;;204.0;500.0;;;media
AM;JURUA;municipio;;;;;;;media
AM;PURUS;microrregiao;;;165233.0;195266.0;274.0;59.0;media
AM;BOCA DO ACRE;municipio;;;90958.0;4718.0;42.0;29.0;media
AM;CANUTAMA;municipio;;;1306.0;250.0;;;media
AM;LABREA;municipio;;;32860.0;23931.0;29.0;;media
AM;PAUINI;municipio;;;18710.0;45290.0;122.0;;media
AM;TAPAUA;municipio;;;21398.0;79077.0;80.0;17.0;media
AM;MADEIRA;microrregiao;;;203383.0;145390.0;70.0;27.0;media
AM;BORBA;municipio;;;99334.0;79155.0;11.0;2.0;media
AM;HUMAITA;municipio;;;55142.0;26293.0;20.0;;media
AM;MANICORE;municipio;;;13750.0;15427.0;32.0;16.0;media
AM;NOVO ARIPUANÃ;municipio;;;35157.0;20515.0;;2.0;media
AM;RIO NEGRO;microrregiao;;;2810.0;4530.0;;;media
AM;BARCELOS;municipio;;;1450.0;1050.0;;;media
AM;NOVO AIRÃO;municipio;;;860.0;100.0;;;media
AM;SANTA ISABEL DO RIO NEGRO;municipio;;;;;;;media
AM;SÃO GABRIEL DA CACHOEIRA;municipio;500.0;8.0;280.0;1000.0;;;media
AM;SOLIMÕES-JAPURA;microrregiao;;;75547.0;149373.0;231.0;168.0;media
AM;ALVARÃES;municipio;;;1280.0;2075.0;3.0;;media
AM;ANAMÃ;municipio;;;200.0;;;;media
AM;ANORI;municipio;;;2173.0;3842.0;;;media
AM;COAR(;municipio;;;36453.0;51123.0;98.0;33.0;media
AM;CODAJAS;municipio;;;22918.0;50843.0;112.0;124.0;media
AM;JAPURA;municipio;;;390.0;1001.0;;;media
AM;MARAÃ;municipio;;;;;;;media
AM;TEFE;municipio;;;11559.0;41089.0;14.0;;media
AM;UARINI;municipio;;;573.0;;2.0;;media
AM;MEDI O AMAZONAS;microrregiao;;315.0;;1426.0;;;media
AM;AUTAZES;municipio;;;;23.0;;;media
AM;BARREIRINHA;municipio;;73.0;;114.0;;;media
AM;BERURI;municipio;;;;75.0;;;media
AM;BOA VISTA DO RAMOS;municipio;;;;28.0;;;media
AM;CAAP l RANGA;municipio;;;;60.0;;;media
AM;CAREIRO;municipio;;;;168.0;;;media
AM;IRANDUBA;municipio;;;;69.0;;;media
AM;ITACOATIARA;municipio;;12.0;;107.0;;;media
AM;ITAPIRANGA;municipio;;;;17.0;;;media
AM;MANACAPURU;municipio;;112.0;;216.0;;;media
AM;MANAOUIRI;municipio;;;;52.0;;;media
AM;MAUES;municipio;;11.0;;27.0;;;media
AM;NHAMUNOA;municipio;;21.0;;192.0;;;media
AM;NOVA OLINDA DO NORTE;municipio;;;;34.0;;;media
AM;PARINTINS;municipio;;22.0;;138.0;;;media
AM;PRESIDENTE FIGUEIREDO;municipio;;;;;;;media
AM;RIO PRETO DA EVA;municipio;;;;;;;media
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;;;;;;;media
AM;SILVES;municipio;;12.0;;19.0;;;media
AM;URUCARA;municipio;;;;15.0;;;media
AM;URUCURITUBA;municipio;;;;;;;media
AM;MEDIO AMAZONAS;microrregiao;190486.0;183913.0;160.0;;89.0;;media
AM;AUTAZES;municipio;24988.0;31664.0;29.0;;18.0;;media
AM;BARREIRINHA;municipio;9506.0;5783.0;;;;;media
AM;BERURI;municipio;3946.0;400.0;;;;;media
AM;BOA VISTA DO RAMOS;municipio;138.0;307.0;;;;;media
AM;CAAPIRANGA;municipio;1600.0;1600.0;;;;;media
AM;CAREIRO;municipio;22239.0;20580.0;20.0;;;;media
AM;IRANOUBA;municipio;;;;;;;media
AM;ITACOATIARA;municipio;14617.0;15177.0;;;;;media
AM;ITAPIRANGA;municipio;1864.0;3320.0;;;;;media
AM;MANACAPURU;municipio;632.0;6111.0;12.0;;;;media
AM;MANAOUIRI;municipio;2781.0;3062.0;;;;;media
AM;MAUES;municipio;21762.0;17589.0;;;;;media
AM;NHAMUNDA;municipio;5251.0;1925.0;;;;;media
AM;NOVA OLINDA DO NORTE;municipio;74.0;8612.0;22.0;2220.0;;;media
AM;PARINTINS;municipio;13446.0;17088.0;21.0;;;;media
AM;PRESIDENTE FIGUEIREDO;municipio;13090.0;11109.0;;;;;media
AM;RIO PRETO DA EVA;municipio;4940.0;3350.0;;;23.0;;media
AM;SÃO SEBASTIÃO DO UATUMÂ;municipio;1640.0;2950.0;;;;;media
AM;SILVES;municipio;191.0;4115.0;;;;;media
AM;URUCARA;municipio;6210.0;4836.0;;;;;media
AM;URUCURITUBA;municipio;4967.0;378.0;;;;;media
AM;TOTAIS;total;;;89335.0;;6834.0;24381.0;media
AM;HI LEIA AMAZONENSE;microrregiao;;;51010.0;;7070.0;15394.0;media
AM;ALTO SOLIMÕES;municipio;;;11480.0;;1540.0;4533.0;media
AM;.JURUA;municipio;;;4480.0;;2249.0;1211.0;media
AM;EIRUNEPE;mesorregiao;;;548.0;;220.0;151.0;media
AM;.PURUS;municipio;;;6698.0;;1144.0;2224.0;media
AM;MADEIRA;municipio;1209.0;1568.0;3595.0;2829.0;;;media
AM;RIO NEGRO;municipio;;;689.0;;318.0;1340.0;media
AM;SANTA ISABEL;mesorregiao;;;706.0;;;63.0;media
AM;SOLIMÔES-JAPURA;municipio;;;14109.0;;251.0;2491.0;media
AM;o COARI;mesorregiao;;;4540.0;;64.0;;media
AM;MARAÃ;mesorregiao;;;272.0;;;96.0;media
AM;AS UARINI;mesorregiao;;;920.0;;42.0;186.0;media
AM;MEDIO AMAZONAS;microrregiao;40639.0;38325.0;;1764.0;;;media
AM;AUTAZES;municipio;963.0;1788.0;;52.0;;;media
AM;BERURI;municipio;876.0;865.0;;38.0;;;media
AM;BOA VISTA DO RAMOS;municipio;877.0;846.0;;14.0;;;media
AM;CAAP l RANGA;municipio;501.0;496.0;;43.0;;;media
AM;CAREIRO;municipio;3953.0;715.0;;145.0;;;media
AM;IRANDUBA;municipio;1872.0;1820.0;;92.0;;;media
AM;ITACOATIARA;municipio;2758.0;2692.0;;115.0;;;media
AM;ITAPIRANQA;municipio;269.0;253.0;;11.0;;;media
AM;MANACAPURU;municipio;4393.0;4331.0;;270.0;;;media
AM;MANAQUIRI;municipio;1302.0;1296.0;;46.0;;;media
AM;MAUES;municipio;198.0;3141.0;;21.0;;;media
AM;NHAMUNOA;municipio;31.0;2466.0;;282.0;;;media
AM;NOVA OLINDA DO NORTE;municipio;308.0;2157.0;;29.0;;;media
AM;PARINTINS;municipio;5344.0;4983.0;;233.0;;;media
AM;PRESIDENTE FIGUEIREDO;municipio;322.0;318.0;;;;;media
AM;RIO .PRETO DA EVA;municipio;397.0;394.0;;10.0;;;media
AM;SÃO SEBASTIÃO DO UATUMÃ;municipio;752.0;643.0;;;;;media
AM;SILVES;municipio;812.0;661.0;;89.0;;;media
AM;URUCARA;municipio;976.0;885.0;;43.0;;;media
AM;URUCURITUBA;municipio;1383.0;1337.0;;20.0;;;media
AP;TOTAIS;total;4816.0;1208021.0;142.0;82.0;181.0;261.0;alta
AP;AMAPA;mesorregiao;4816.0;1208021.0;142.0;82.0;181.0;261.0;alta
AP;MACAPA;microrregiao;3667.0;692397.0;89.0;46.0;82.0;121.0;alta
AP;MACAPA;municipio;2497.0;599928.0;55.0;28.0;48.0;69.0;alta
AP;MAZAGÃO;municipio;1170.0;92468.0;34.0;18.0;34.0;53.0;alta
AP;AMAPA E OIAPOQUE;microrregiao;1149.0;515624.0;53.0;35.0;99.0;139.0;alta
AP;AMAPA;municipio;633.0;470307.0;;;10.0;15.0;alta
AP;CALÇOENE;municipio;217.0;39627.0;1.0;2.0;2.0;;alta
AP;OIAPOQUE;municipio;299.0;5689.0;48.0;31.0;87.0;120.0;alta
AP;TOTAIS;total;1190.0;127701.0;398.0;107187.0;81.0;51865.0;alta
AP;AMAPA;mesorregiao;1194.0;127701.0;398.0;107187.0;81.0;51865.0;alta
AP;MACAPA;microrregiao;1019.0;107833.0;223.0;62550.0;55.0;35.0;alta
AP;MACAPA;municipio;791.0;83226.0;159.0;45158.0;40.0;26109.0;alta
AP;MAZAGÃO;municipio;228.0;24607.0;64.0;17392.0;15.0;9335.0;alta
AP;AMAPA E OIAPOQUE;microrregiao;175.0;19867.0;175.0;637.0;26.0;16421.0;alta
AP;AMAPA;municipio;136.0;15190.0;88.0;24457.0;23.0;595.0;alta
AP;CALÇOENE;municipio;36.0;4277.0;77.0;17580.0;1226.0;600.0;alta
AP;OIAPDOUE;municipio;3.0;400.0;10.0;2600.0;600.0;;alta
AP;TOTAIS;total;4816.0;3999.0;;378.0;611.0;1398.0;alta
AP;AMAPA;mesorregiao;4816.0;3999.0;;378.0;611.0;1398.0;alta
AP;MACAPA;microrregiao;3667.0;3166.0;;305.0;469.0;1131.0;alta
AP;MACAPA;municipio;2497.0;2199.0;;142.0;277.0;780.0;alta
AP;MAZAGÃO;municipio;1170.0;967.0;;163.0;192.0;351.0;alta
AP;AMAPA E OIAPOQUE;microrregiao;1149.0;833.0;;73.0;142.0;267.0;alta
AP;AMAPA;municipio;633.0;368.0;;15.0;35.0;156.0;alta
AP;CALÇOENE;municipio;217.0;170.0;;;;29.0;alta
AP;OIAPOQUE;municipio;299.0;295.0;;52.0;102.0;82.0;alta
BA;TOTAIS;total;739006.0;33431403.0;72044.0;46370.0;79579.0;114006.0;baixa
BA;OESTE BAIANO;mesorregiao;300262.0;16616115.0;16836.0;11653.0;27684.0;38698.0;baixa
BA;CHAPADÕES;microrregiao;23844.0;4346772.0;1396.0;14.0;2063.0;2814.0;baixa
BA;ANGICAL;municipio;1942.0;171235.0;165.0;123.0;226.0;302.0;baixa
BA;BAIANOPOLIS;municipio;1321.0;121278.0;;;54.0;60.0;baixa
BA;BARREIRAS;municipio;2039.0;507128.0;154.0;105.0;230.0;333.0;baixa
BA;BREJOLANDIA;municipio;1692.0;173994.0;43.0;29.0;67.0;93.0;baixa
BA;CATOLANDIA;municipio;661.0;44248.0;21.0;13.0;73.0;84.0;baixa
BA;COTEGIPE;municipio;1916.0;627911.0;54.0;34.0;55.0;80.0;baixa
BA;CRISTOPOLIS;municipio;1570.0;64298.0;145.0;97.0;154.0;220.0;baixa
BA;FORMOSA DO RIO PRETO;municipio;622.0;102702.0;53.0;30.0;183.0;219.0;baixa
BA;RIACHÂO DAS NEVES;municipio;2242.0;253661.0;;;267.0;325.0;baixa
BA;SANTA RITA OE CASSIA;municipio;3534.0;459202.0;;;;;baixa
BA;SÃO DESIDERIO;municipio;3123.0;751577.0;592.0;448.0;469.0;681.0;baixa
BA;TABOCAS DO BREJO VELHO;municipio;2182.0;69532.0;161.0;126.0;282.0;409.0;baixa
BA;CHAPADÕES;microrregiao;18907.0;772865.0;594.0;412.0;1241.0;1618.0;baixa
BA;CANAPOLIS;municipio;530.0;38894.0;25.0;18.0;91.0;125.0;baixa
BA;cocos;municipio;970.0;319990.0;;;22.0;24.0;baixa
BA;CORIBE;municipio;2224.0;274962.0;22.0;22.0;;;baixa
BA;CORRENT I NA;municipio;3947.0;605110.0;46.0;48.0;;;baixa
BA;SANTA MARIA DA VITORIA;municipio;3368.0;205408.0;75.0;49.0;307.0;364.0;baixa
BA;SANTANA;municipio;2985.0;171523.0;291.0;198.0;426.0;588.0;baixa
BA;SERRA DOURADA;municipio;2883.0;156976.0;200.0;145.0;327.0;444.0;baixa
BA;BAIXO-MEDI O SÃO FRANCISCO;microrregiao;39076.0;2023955.0;3832.0;2770.0;6082.0;9120.0;baixa
BA;BARRA;municipio;7527.0;570855.0;550.0;1050.0;584.0;2369.0;baixa
BA;CAMPO ALEGRE DE LOURDES;municipio;3659.0;464466.0;32.0;26.0;;178.0;baixa
BA;CASA NOVA;municipio;6896.0;91668.0;377.0;297.0;916.0;1393.0;baixa
BA;IBOTIRAMA;municipio;523.0;135345.0;88.0;68.0;241.0;342.0;baixa
BA;MORPARA;municipio;982.0;74837.0;;;;;baixa
BA;PILÃO ARCADO;municipio;5474.0;53643.0;730.0;540.0;1101.0;647.0;baixa
BA;REMANSO;municipio;3960.0;142330.0;251.0;181.0;549.0;842.0;baixa
BA;SENTO SE;municipio;5025.0;90662.0;310.0;238.0;781.0;1150.0;baixa
BA;XI QUE-XI QUE;municipio;4030.0;400145.0;492.0;366.0;793.0;1189.0;baixa
BA;MEDI O SÃO FRANCISCO;microrregiao;17214.0;1339978.0;628.0;400.0;927.0;1193.0;baixa
BA;BOM .JESUS DA LAPA;municipio;8635.0;665720.0;456.0;286.0;473.0;638.0;baixa
BA;CARINHANHA;municipio;2505.0;257239.0;;;34.0;37.0;baixa
BA;MALHADA;municipio;2728.0;316414.0;;;196.0;224.0;baixa
BA;PARATINGA;municipio;3346.0;100604.0;162.0;109.0;224.0;292.0;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;32426.0;1198336.0;788.0;299.0;3050.0;4565.0;baixa
BA;BARRA;municipio;1903.0;57916.0;58.0;45.0;164.0;255.0;baixa
BA;CAFARNAUM;municipio;2364.0;44332.0;177.0;74.0;163.0;235.0;baixa
BA;CANARANA;municipio;3791.0;77956.0;230.0;171.0;379.0;578.0;baixa
BA;CENTRAL;municipio;564.0;27137.0;25.0;19.0;49.0;74.0;baixa
BA;GENTIO DO OURO;municipio;2480.0;65627.0;354.0;274.0;515.0;744.0;baixa
BA;IBIPEBA;municipio;275.0;81756.0;267.0;197.0;334.0;489.0;baixa
BA;IBITITA;municipio;344.0;36773.0;116.0;94.0;251.0;379.0;baixa
BA;IRECE;municipio;749.0;246909.0;268.0;199.0;445.0;661.0;baixa
BA;JUSSARA;municipio;1130.0;35304.0;15.0;11.0;53.0;82.0;baixa
BA;MORRO;municipio;2698.0;339585.0;19.0;15.0;73.0;110.0;baixa
BA;e saz;microrregiao;;822.0;11086.0;;11594.0;106.0;baixa
BA;TOTAIS;total;3381831.0;166994938605.0;5313.0;2300.0;3043087.0;;baixa
BA;OESTE BAIANO;microrregiao;1384632.0;65311883680.0;2021.0;908.0;1168717.0;;baixa
